ID	ROAD_NODE_ID	ROAD_NODE_NAME	ROAD_NODE_KM	ROAD_DIRECTION	longitude	latitude	SDE_ID	cell_id	length
18	4715	竹岐服务区导流线	44983.60156	2	119.0754514	26.14586072	D4FDBD56BD9346A2BAB6737C9B3A908A	13931	1.181659
18	5452	竹岐服务区导流线	44823.21484	1	119.0767515	26.14503059	E026F0E01F7E47B99E7D9399EBAC50D7	13931	1.348177
19	4664	闽侯、竹岐出入口立交桥	40273	1	119.1153678	26.12502877	A054041A8CFB4697847B7CCE8F9F72BB	23731	0.79392
19	4971	闽侯、竹岐出入口立交桥	39955	2	119.1165972	26.12229778	163EDE151346430FA6BDE66D15CDD201	23731	1.203568
19	5091	闽侯、竹岐出入口立交桥	39725.39453	1	119.1178724	26.12047992	266301AF5A1A40EFB979E52BFFD76552	23731	1.452069
19	5539	闽侯、竹岐出入口立交桥	39616.21875	2	119.1183107	26.11951703	9EE4E7593E5B4D79B364F2B580479759	23731	1.547115
20	4666	白龙枢纽互通立交桥	37953.03906	2	119.1308896	26.11017139	6962FB56046443EA931BFE8D97B4EC2C	3752	0.30036
20	4181	白龙枢纽互通立交桥	37923.29297	1	119.1311913	26.11012725	E38000F0AA9A4CF78E3129B2BF61B76B	3752	0.330955
20	5454	白龙枢纽互通立交桥	36615.28516	1	119.1435511	26.10630379	486158A389234AFAB9E8BA1BDD052848	54752	1.292007
20	5093	白龙枢纽互通立交桥	36429.86719	2	119.1450834	26.10536417	464479C58D884DA4B7636C1E21AC95FB	54752	1.47661
21	4860	福州西出入口立交桥	29384	2	119.1753465	26.05533557	C9FA77CD5604456B9FB00FD7F8F4321A	54783	0.016851
21	4937	福州西出入口立交桥	29085	1	119.1771038	26.05320311	499C364FD5C840A0870B4A925AD0A544	54783	0.277087
21	4861	福州西出入口立交桥	29016.48438	2	119.1772785	26.05256552	63E216667B864C23821850A131719553	54783	0.31856
21	4185	福州西出入口立交桥	28638	1	119.1792367	26.04967835	E478C81AE5E4491BB14C4A599DB316B7	21821	0.146721
22	4973	上街服务区导流线	23111.68945	1	119.207271	26.00745237	ADE8DD408F364E8A945B7D71547263DD	21741	0.454854
22	4188	上街服务区导流线	23036.77148	2	119.207775	26.00692442	79FEC333C0814C54BB0D898D1E1AB6EE	21741	0.529041
