xstart	ystart	xend	yend	roadlength	cell_id	Lac_id
117.27023021600	26.96498488920	117.30930979400	26.95295223770	4.27081151244	10761,10762	22921
117.30930979400	26.95295223770	117.34287553800	26.93154371920	4.10728920037	34991	22912
117.34287553800	26.93154371920	117.36381221600	26.92832374630	2.11943065752	33911	22912
117.36381221600	26.92832374630	117.37600002600	26.92472063600	1.28467175894	40961	22912
117.37600002600	26.92472063600	117.40969512600	26.90390945320	4.18583103182	55171	22912
117.40969512600	26.90390945320	117.42007000000	26.89371800000	1.56924930565	38102,38103	22912
117.42007000000	26.89371800000	117.42433684100	26.87238132700	2.41382285510	30271,30272	22912
117.42433684100	26.87238132700	117.42517647300	26.86272095920	1.07716865653	44061	25008
117.42517647300	26.86272095920	117.43392817100	26.85527024550	1.21302771039	38981,38982	22912
117.43392817100	26.85527024550	117.44377331100	26.84483381980	1.51422098390	41271,41272,41273	22912
117.44377331100	26.84483381980	117.44955588800	26.83870394950	0.88941005313	33441	22912
117.44955588800	26.83870394950	117.47375909100	26.81814301060	3.36711287342	34361	22912
117.47375909100	26.81814301060	117.48031061700	26.80133674650	2.07670944364	40321,40322	22912
117.48031061700	26.80133674650	117.49822430800	26.78495925230	2.90543304130	31271	22912
117.49822430800	26.78495925230	117.51193579100	26.77251183160	2.00065641760	39751,39752	22912
117.51193579100	26.77251183160	117.52584878400	26.75348229480	2.69214070549	44071	22912
117.52584878400	26.75348229480	117.50721780200	26.71313410650	4.98003322236	12332	22912
117.50721780200	26.71313410650	117.50891707300	26.70457511690	1.00933098463	31163	25008
117.50891707300	26.70457511690	117.52818153300	26.69808262760	2.07371657343	45201	22912
117.52818153300	26.69808262760	117.54051659600	26.68669712710	1.86091557067	39722,39723	22912
117.54051659600	26.68669712710	117.54849014000	26.68292765450	0.89845910900	40311,40312	22912
117.54849014000	26.68292765450	117.57385114600	26.66852633130	3.04432277271	31121,31122	22912
117.57385114600	26.66852633130	117.58843835000	26.66144384180	1.66725006299	39741,39742	22912
117.58843835000	26.66144384180	117.62819782700	26.64729617290	4.25609410035	34681,34682,34683	22912
117.62819782700	26.64729617290	117.64006400000	26.63981400000	1.48267222376	40281,40282,40283	22919
117.64006400000	26.63981400000	117.64636720500	26.61334564930	3.08015580725	39151	22919
117.64636720500	26.61334564930	117.66827500000	26.60585000000	2.39415697703	51261	22919
117.66827500000	26.60585000000	117.67654968100	26.60572628300	0.82397690950	41261,41262	24706,22919
117.67654968100	26.60572628300	117.70316533000	26.60191707300	2.71085992308	39711,39712	22919
